,event,cycle,loc,transaction,src,src_index,dst,dst_index,req,cacheLine,reqAddr,data,size,tran_id,cpuID,mshrSize,ICacheState,NCacheState,hit-miss,type-op
2279,New,413000,l1cache_0,CompData,l2cache_0,2,l1cache_0,1,l1cache_0,0x9c0,0x9e8,T,64,105,105,28,IUD,UD,-,Respond
2280,New,414000,l2cache_1,CompData,dc0,3,l2cache_1,2,l1cache_1,0x48c0,0x48ec,T,64,125,125,26,ISC,UC,-,Respond
2281,Send,414000,l2cache_0,ReadUnique,l2cache_0,2,dc1,3,-,0x28c0,0x28e8,-,64,432,432,-,-,-,-,-
2282,Send,414000,l2cache_0,ReadNotSD,l2cache_0,2,dc1,3,-,0x1fc0,0x1fec,-,64,433,433,-,-,-,-,-
2283,Send,414000,l2cache_2,CompData,l2cache_2,2,l1cache_2,1,-,0x6c0,0x6ec,-,64,345,345,-,-,-,-,-
2284,New,414000,l2cache_2,SnpRespData,l1cache_2,1,l2cache_2,2,l1cache_1,0x3ec0,-,T,64,420,420,27,UD_Inv,UD,-,Retry
2285,New,414000,l2cache_2,SnpNotSDFwd,dc1,3,l2cache_2,2,l1cache_0,0x400,0x439,F,64,405,405,28,UD,UD_InvX,Dgr owner,Stall
2286,New,414000,l2cache_2,SnpRespData,l1cache_2,1,l2cache_2,2,l1cache_1,0x25c0,-,T,64,424,424,28,UC_InvX,UC,-,Retry
2287,New,414000,dc0,SnpRespData,l2cache_1,2,dc0,3,l1cache_0,0x63c0,0x63ed,T,64,358,358,,,,,
2288,New,414000,dc1,SnpResp,l2cache_0,2,dc1,3,l1cache_2,0x2ec0,0x2ee8,F,64,381,381,,,,,
2289,New,414000,dc2,CompData,memory0,4,dc2,3,l1cache_1,0x5c0,0x5ec,T,64,164,164,,,,,
2290,Send,414000,l1cache_2,CompData,l1cache_2,1,memHierarchyTester,0,-,0x54c0,0x54e9,-,1,439,439,-,-,-,-,-
2291,Send,414000,l1cache_0,ReadUnique,l1cache_0,1,l2cache_0,2,-,0x4c0,0x4e9,-,64,437,437,-,-,-,-,-
2292,Retry,414000,l1cache_0,ReadNotSD,memHierarchyTester,0,l1cache_0,1,l1cache_0,0x9c0,0x9ec,F,1,173,173,27,UD,UD,hit,Respond
2293,New,414000,l1cache_0,Inv,l2cache_0,2,l1cache_0,1,l1cache_1,0x3dc0,-,F,64,434,102,,,,,
2294,Send,415000,l1cache_2,CompData,l1cache_2,1,memHierarchyTester,0,-,0x3ac0,0x3aec,-,1,298,298,-,-,-,-,-
2295,New,415000,l1cache_2,CompData,l2cache_2,2,l1cache_2,1,l1cache_2,0x6c0,0x6ec,T,64,345,345,37,SCUD,UD,-,Respond
2296,Send,415000,l1cache_0,CompData,l1cache_0,1,memHierarchyTester,0,-,0x2ec0,0x2eee,-,1,436,436,-,-,-,-,-
2297,New,415000,l1cache_0,Inv,l2cache_0,2,l1cache_0,1,l1cache_1,0x3dc0,-,F,64,434,102,,SC,I,-,Respond
2298,Send,416000,l2cache_1,CompData,l2cache_1,2,l1cache_1,1,-,0xac0,0xaec,-,64,136,136,-,-,-,-,-
2299,Send,416000,l2cache_1,SnpNotSDFwd,l2cache_1,2,l1cache_1,1,-,0xac0,-,-,64,438,438,-,-,-,-,-
2300,New,416000,l2cache_1,CompData,dc2,3,l2cache_1,2,l1cache_1,0x8c0,0x8e8,T,64,144,144,25,IUD,UD,-,Respond
2301,New,416000,l2cache_0,ReadUnique,l1cache_0,1,l2cache_0,2,l1cache_0,0x4c0,0x4e9,F,64,437,437,25,SC,SCUD,miss,Forward
2302,New,416000,l2cache_0,CompData,dc1,3,l2cache_0,2,l1cache_0,0x55c0,0x55e8,T,64,129,129,24,ISC,UC,-,Respond
2303,Send,416000,l2cache_2,SnpRespData,l2cache_2,2,dc0,3,-,0x5dc0,0x5de9,-,64,368,368,-,-,-,-,-
2304,Retry,416000,l2cache_2,SnpUnique,dc2,3,l2cache_2,2,l1cache_1,0x3ec0,0x3ee8,F,64,392,392,27,UD,I,-,Respond
2305,Retry,416000,l2cache_2,SnpNotSDFwd,dc1,3,l2cache_2,2,l1cache_1,0x25c0,0x25ec,F,64,398,398,26,UC,SC,-,Respond
2306,Retry,416000,dc0,ReadUnique,l2cache_0,2,dc0,3,l1cache_0,0x63c0,0x63ed,F,64,346,346,,,,,
2307,New,416000,dc0,ReadNotSD,l2cache_1,2,dc0,3,l1cache_1,0x18c0,0x18e8,F,64,411,411,,,,,
2308,Retry,416000,dc1,ReadNotSD,l2cache_2,2,dc1,3,l1cache_2,0x2ec0,0x2ee8,F,64,349,349,,,,,
2309,Send,416000,l1cache_1,SnpRespData,l1cache_1,1,l2cache_1,2,-,0x440,-,-,64,429,429,-,-,-,-,-
2310,New,416000,l1cache_1,ReadUnique,memHierarchyTester,0,l1cache_1,1,l1cache_1,0xfc0,0xfec,T,1,442,442,32,SC,SCUD,miss,Forward
